@lat,@lon
50.0240893,36.2331831
50.0227315,36.2287145
50.0229064,36.2266576
50.0237437,36.2278445
50.0188292,36.2272722
50.0178402,36.2299008
50.0149345,36.2302583
50.0130248,36.2364785
50.0174665,36.2382578
49.9892418,36.2245549
49.9631780,36.3245084
49.9613884,36.3331608
49.9634354,36.3292223
49.9586830,36.3248821
49.9837209,36.3081581
49.9807161,36.3645544
49.9934175,36.2955065
49.9832613,36.3053711
49.9919790,36.3080023
49.9986603,36.3150768
49.9982380,36.3156690
49.9894007,36.3110641
49.9893718,36.3231579
49.9902218,36.3198143
49.9923713,36.3216886
49.9876780,36.2736836
49.9918034,36.2706937
49.9910529,36.2607761
49.9921762,36.2556370
49.9922194,36.2562562
49.9950417,36.2307877
49.9757296,36.2605492
50.0184840,36.2253370
50.0082500,36.2285032
50.0365494,36.2311052
49.9878499,36.2446361
49.9878560,36.2465672
50.0158003,36.2790934
50.0153914,36.2716473
50.0138793,36.2857657
50.0140352,36.2842233
50.0085411,36.2766880
50.0117518,36.2706190
50.0105561,36.2697592
50.0117583,36.2826769
50.0128156,36.2841550
50.0146310,36.2820391
50.0148721,36.2785684
50.0190557,36.2889545
50.0186468,36.2649050
50.0068026,36.2764788
50.0067549,36.2771190
50.0154036,36.2811872
50.0128089,36.2842478
50.0070225,36.2528638
49.9938980,36.2203474
49.9922960,36.2770365
49.9948565,36.2711479
49.9975427,36.2698879
49.9967386,36.2722176
49.9973453,36.2717426
49.9979184,36.2712294
49.9984333,36.2704891
49.9987130,36.2692522
49.9974430,36.2637727
49.9954069,36.2588569
49.9934736,36.2630214
49.9967647,36.2675967
49.9989008,36.2644341
49.9978943,36.2600753
49.9939649,36.2706294
49.9939967,36.2586182
49.9927433,36.2567282
49.9943057,36.2541227
50.0029922,36.2756725
49.9999054,36.2636705
49.9987804,36.2749670
49.9998914,36.2778426
49.9995068,36.2788899
50.0228417,36.1956343
50.0226583,36.2059385
50.0223022,36.2063356
50.0188309,36.2106264
50.0234771,36.1980456
50.0236373,36.2037252
50.0240593,36.2077062
50.0205804,36.2045581
50.0199642,36.2063119
50.0211143,36.2031237
50.0176272,36.2119750
50.0104788,36.2123325
50.0155799,36.2124546
50.0110404,36.2109528
50.0107318,36.2149463
50.0059310,36.2174268
50.0074676,36.2158798
50.0055045,36.2054428
49.9993315,36.2072689
50.0093479,36.2030176
50.0068750,36.2029863
50.0062121,36.2042306
50.0057891,36.2028756
50.0060939,36.2099624
